German,English,Category
Montag,Monday,die Wochentage
Dienstag,Tuesday,die Wochentage
Mittwoch,Wednesday,die Wochentage
Donnerstag,Thursday,die Wochentage
Freitag,Friday,die Wochentage
Samstag,Saturday,die Wochentage
Sonntag,Sunday,die Wochentage
Jänner,January,die Monate
Februar,February,die Monate
März,March,die Monate
April,April,die Monate
Mai,May,die Monate
Juni,June,die Monate
Juli,July,die Monate
August,August,die Monate
September ,September,die Monate
Oktober,October,die Monate
November,November,die Monate
Dezember,December,die Monate
der Winter,The winter,die Jahreszeit
der Frühling ,The spring,die Jahreszeit
der Sommer,The summer,die Jahreszeit
der Herbst,The autum,die Jahreszeit
heute,today,Days mode
morgen,tomorrow,Days mode
übermorgen,the day after tomorrow,Days mode
vorgestern,the day before yesterday,Days mode
gestern,yesterday,Days mode
wie hei&t du?,what's your name?,Basic sentences
wie geht's?,how's it going?,Basic sentences
gehen,to go,die Verben
verstehen,to understand,die Verben
telefonieren,to call on the phone,die Verben
der Computer,The computer,Der
der Stuhl,The chair,Der
das Handy,The phone,Das
der Laptop,The laptop,Der
der Tisch,The table,Der
das Foto,The photo,Das
das Bild,The image,Das
der Schlüssel,The key,Der
der Schrank,The wardrobe,Der
das Papier,The paper,Das
der Stift,The pencil,Der
der Kühlschrank,The fridge,Der
das Notizbuch,The notebook,Das
das Sofa,The sofa,Das
die Handtasche,The purse,Die
die Kaffeemaschine,The coffee machine,Die
das Bett,The bed,Das
die Bank,The bank,Die
der Geschirrspüler,The dishwasher,Der
das Regal,The shelf,Das
die Tafel,The board,Die
die Waschmaschine,The washing machine,Die
das Fenster,The window,Das
die Tür,The door,Die
die Kassa,The cash register,Die
die Flasche,The bottle,Die
am Abend,in the evening,Times of the day
am Vormittag,in the morning (before noon),Times of the day
am Mittag,At noon,Times of the day
die Nacht,The night,Die
am Nachmittag,in the afternoon,Times of the day
am Morgen,in the morning,Times of the day
in der Nacht,At night,Times of the day
in der Früh,in the early morning,Times of the day
der Tag,The day,Der
leben,to live (alive),die Verben
sitzen,to sit,die Verben
kommen,to come,die Verben
denken,to think,die Verben
wohnen,to live (in a place),die Verben
hören,to hear / to listen,die Verben
kochen,to cook,die Verben
sprechen,to speak,die Verben
trinken,to drink,die Verben
lernen,to learn,die Verben
schreiben,to write,die Verben
spielen,to play,die Verben
lieben,to love,die Verben
schwimmen,to swim,die Verben
machen,to do / to make,die Verben
lachen,to laugh,die Verben
zahlen,to count,die Verben
zählen,to pay,die Verben
rennen,to run,die Verben
üben,to practice,die Verben
sein,to be,die Verben
haben,to have,die Verben
richtig,right,Adjectives
wichtig,important,Adjectives
stark,strong,Adjectives
spannend,interesting,Adjectives
falsch,wrong,Adjectives
gut,good,Adjectives
schlecht,bad,Adjectives
spät,late,Adjectives
früh,early,Adjectives
snel,fast,Adjectives
hart,hard,Adjectives
gleich,identical,Adjectives
weich,soft,Adjectives
langsam,slow,Adjectives
schön,nice,Adjectives
pünktlich,punctual,Adjectives
unpünktlich,unpunctual,Adjectives
müde,tired,Adjectives
zwischen,between,Preprosition
zurück,back,Preprosition
vorwarts,forward,Preprosition
rückwarts,backward,Preprosition
am Montag,On Monday,Combinations
im Februar,in February,Combinations
am Mittag,At noon,Combinations
in der Früh,in the early morning,Combinations
in der Nacht,At night,Combinations
Deutsch is genau so!,That is German!,Basic sentences
wie spät ist es?,What time is it? (s),Basic sentences
wie viel Uhr ist es?,What time is it? (v),Basic sentences
viel zu snel,much too fast,Combinations
die Stunde,The hour,Die
die Minute,The minute,Die
die Sekunde,The second,Die
die Zeit,The time,Die
die Uhr,The clock,Die
mehr Personen kommen nicht,No more people come,Basic sentences
verkaufen,to sell,die Verben
tanzen,to dance,die Verben
