German,English1,Category,English
der Computer,The computer,Nouns,La computadora -- The computer
der Stuhl,The chair,Nouns,La silla -- The chair
das Handy,The phone,Nouns,El teléfono -- The phone
der Laptop,The laptop,Nouns,La computadora portátil -- The laptop
der Tisch,The table,Nouns,La mesa -- The table
das Foto,The photo,Nouns,La foto -- The photo
das Bild,The image,Nouns,la foto -- The image
der Schlüssel,The key,Nouns,La clave -- The key
der Kasten,The wardrobe,Nouns,La caja -- The wardrobe
das Papier,The paper,Nouns,El papel -- The paper
der Stift,The pencil,Nouns,El lapiz -- The pencil
der Kühlschrank,The fridge,Nouns,El refrigerador -- The fridge
das Notizbuch,The notebook,Nouns,El cuaderno -- The notebook
das Sofa,The sofa,Nouns,El sofá -- The sofa
die Handtasche,The purse,Nouns,El bolso -- The purse
die Kaffeemaschine,The coffee machine,Nouns,La máquina de café -- The coffee machine
das Bett,The bed,Nouns,La cama -- The bed
die Bank,The bank,Nouns,El banco -- The bank
der Geschirrspüler,The dishwasher,Nouns,El lavavajillas -- The dishwasher
das Regal,The shelf,Nouns,El estante -- The shelf
die Tafel,The board,Nouns,La pizarra -- The board
die Waschmaschine,The washing machine,Nouns,La lavadora -- The washing machine
das Fenster,The window,Nouns,La ventana -- The window
die Tür,The door,Nouns,La puerta -- The door
die Kassa,The cash register,Nouns,La caja registradora -- The cash register
die Flasche,The bottle,Nouns,la botella -- The bottle
die Nacht,The night,Nouns,La noche -- The night
der Tag,The day,Nouns,El día -- The day
die Stunde,The hour,Nouns,la hora -- The hour
die Minute,The minute,Nouns,El minuto -- The minute
die Sekunde,The second,Nouns,El segundo -- The second
die Zeit,The time,Nouns,El tiempo -- The time
die Uhr,The clock,Nouns,El reloj -- The clock
die Person,the person,Nouns,La persona -- the person
die Telefonnummer,the phone number,Nouns,El número de teléfono -- the phone number
die Adresse,the address,Nouns,la dirección -- the address
der Name,the name,Nouns,El nombre -- the name
das Kind,the child,Nouns,el niño -- the child
das Land,the country,Nouns,El país -- the country
die Sprache,the language,Nouns,el idioma -- the language
der Fernseher,the TV,Nouns,La televisión -- the TV
das Glas,the glass,Nouns,El vaso -- the glass
das Geschirr,the dishes,Nouns,Los platos -- the dishes
der Löffel,the spoon,Nouns,La cuchara -- the spoon
der Kugelschreiber,the pen,Nouns,el bolígrafo -- the pen
der Radiergummi,the eraser,Nouns,El borrador -- the eraser
der Spitzer,the sharpener,Nouns,El sacapuntas -- the sharpener
der Rucksack,the backpack,Nouns,La mochila -- the backpack
die Postleitzahl,the postcode,Nouns,el código postal -- the postcode
die Stiege,the staircase,Nouns,Las escaleras -- the staircase
die Schere,the scissors,Nouns,Las tijeras -- the scissors
das Buch,the book,Nouns,Biblia -- the book
das Video,the video,Nouns,El vídeo -- the video
das Bier,the beer,Nouns,La cerveza -- the beer
der Ort,"the town, the city",Nouns,"El lugar -- the town, the city"
das Wort,the word,Nouns,La palabra -- the word
das Ende,the end,Nouns,el fin -- the end
der Monat,the month,Nouns,el mes -- the month
die Woche,the week,Nouns,La semana -- the week
das Jahr,the year,Nouns,El año -- the year
das Auto,the car,Nouns,El coche -- the car
der Kurs,the course,Nouns,El curso -- the course
die Frage,the question,Nouns,la pregunta -- the question
schnell,fast,Adjectives,rápido -- fast
langsam,slow,Adjectives,lento -- slow
richtig,right,Adjectives,correcto -- right
falsch,wrong,Adjectives,incorrecto -- wrong
schön,nice,Adjectives,lindo -- nice
hässlich,not nice,Adjectives,feo -- not nice
gro&,big,Adjectives,grande -- big
klein,small,Adjectives,pequeño -- small
trocken,dry,Adjectives,seco -- dry
nass,wet,Adjectives,húmedo -- wet
alt,old,Adjectives,viejo -- old
jung,young,Adjectives,joven -- young
frish,fresch,Adjectives,fresco -- fresch
neu,new,Adjectives,nuevo -- new
gut,good,Adjectives,bien -- good
schlecht,bad,Adjectives,malo -- bad
lang,long,Adjectives,largo -- long
kurz,short,Adjectives,corto -- short
hart,hard,Adjectives,duro -- hard
weich,soft,Adjectives,suave -- soft
kalt,cold,Adjectives,frío -- cold
hei&t,hot,Adjectives,se llama&t -- hot
kühl,cool,Adjectives,Frío -- cool
warm,warm,Adjectives,cálido -- warm
früh,early,Adjectives,temprano -- early
spät,late,Adjectives,tarde -- late
pünktlich,punctual,Adjectives,a tiempo -- punctual
unpünktlich,unpunctual,Adjectives,impuntual -- unpunctual
gesund,healthy,Adjectives,saludable -- healthy
krank,sick,Adjectives,enfermo -- sick
ungesund,unhealthy,Adjectives,malsano -- unhealthy
leer,empty,Adjectives,vacío -- empty
voll,full,Adjectives,lleno -- full
schwer,heavy,Adjectives,difícil -- heavy
leicht,light,Adjectives,luz -- light
hell,bright,Adjectives,brillante -- bright
dunkel,dark,Adjectives,oscuro -- dark
laut,loud,Adjectives,alto -- loud
leise,quiet,Adjectives,tranquilo -- quiet
bequem,comfortable,Adjectives,cómodo -- comfortable
unbequem,uncomfortable,Adjectives,incómodo -- uncomfortable
viel,a lot,Adjectives,mucho -- a lot
wenig,a few,Adjectives,pocos -- a few
dünn,thin,Adjectives,delgado -- thin
dick,thick,Adjectives,grueso -- thick
glücklich,happy,Adjectives,feliz -- happy
traurig,sad,Adjectives,triste -- sad
sauber,clean,Adjectives,limpio -- clean
schmutzig,dirty,Adjectives,sucio -- dirty
interessant,interesting,Adjectives,interesante -- interesting
modern,modern,Adjectives,moderno -- modern
kaputt,broken,Adjectives,roto -- broken
normal,normal,Adjectives,normal -- normal
die Tasse,the cup,Nouns,La taza -- the cup
das Gegenteil,the opposite word,Nouns,lo contrario -- the opposite word
die Bahn,the railway,Nouns,El tren -- the railway
der Zug,the train,Nouns,El tren -- the train
die Gruppe,the group,Nouns,El grupo -- the group
die Karte,the map,Nouns,El mapa -- the map
das Haar,the hair,Nouns,El cabello -- the hair
die Schokolade,the chocolate,Nouns,El chocolate -- the chocolate
die Regel,the rule,Nouns,La regla -- the rule
die Matratze,the mattress,Nouns,El colchón -- the mattress
die Bedeutung,the meaning,Nouns,El significado -- the meaning
der Ball,the ball,Nouns,la pelota -- the ball
der Hunger,the hunger,Nouns,hambre -- the hunger
die Pause,the pause,Nouns,El descanso -- the pause
der Punkt,"the dot, period",Nouns,"El punto -- the dot, period"
die List,the list,Nouns,La lista -- the list
der Bus,the bus,Nouns,El autobús -- the bus
das Taxi,the taxi,Nouns,El taxi -- the taxi
der Salat,the salad,Nouns,La ensalada -- the salad
der Nachbar,the neighbor,Nouns,El vecino -- the neighbor
der Name,the name,Nouns,el nombre -- the name
die Toilette,the toilet,Nouns,El baño -- the toilet
das Handtuch,the towel,Nouns,La toalla -- the towel
das Zimmer,the room,Nouns,La habitación -- the room
die Küche,the kitchen,Nouns,La cocina -- the kitchen
das Büro,the office,Nouns,La oficina -- the office
der Sessel,the sofa chair,Nouns,el sillón -- the sofa chair
treffen,to meet,Verben ,encontrarse -- to meet
werfen,to throw,Verben ,tirar -- to throw
nehmen,to take,Verben ,llevar -- to take
sprechen,to speak,Verben ,hablar -- to speak
sehen,to see,Verben ,ver -- to see
geben,to give,Verben ,dar -- to give
messen,to measure,Verben ,medida -- to measure
helfen,to help,Verben ,ayuda -- to help
brechen,to break,Verben ,romper -- to break
lesen,to read,Verben ,leer -- to read
schreiben,to write,Verben ,escribir -- to write
essen,to eat,Verben ,comer -- to eat
vergessen,to forget,Verben ,olvidar -- to forget
schlafen,to sleep,Verben ,dormir -- to sleep
laufen,to run,Verben ,correr -- to run
fahren,to ride,Verben ,conducir -- to ride
waschen,to wash,Verben ,lavar -- to wash
fangen,to catch,Verben ,atrapar -- to catch
fallen,to fall,Verben ,caer -- to fall
tragen,to carry,Verben ,llevar -- to carry
schlagen,to beat,Verben ,golpear -- to beat
halten,"to stop, to hold",Verben ,"sostener -- to stop, to hold"
spielen,to play,Verben ,jugar -- to play
denken,to think,Verben ,pensar -- to think
sitzen,to sit,Verben ,sentarse -- to sit
kommen,to come,Verben ,venir -- to come
wohnen,to live in a place,Verben ,residir -- to live in a place
leben,to live (alive),Verben ,vida -- to live (alive)
stehen,to stand up,Verben ,pararse -- to stand up
verstehen,to understand,Verben ,entender -- to understand
hören,"to hear, to listen",Verben ,"escuchar -- to hear, to listen"
kochen,to cook,Verben ,cocinar -- to cook
singen,to sing,Verben ,cantar -- to sing
zählen,to count,Verben ,contar -- to count
zahlen,to pay,Verben ,pagar -- to pay
lernen,to learn,Verben ,aprender -- to learn
machen,to do,Verben ,hacer -- to do
lachen,to laugh,Verben ,reír -- to laugh
schwimmen,to swim,Verben ,nadar -- to swim
lieben,to love,Verben ,amar -- to love
üben,to practice,Verben ,práctica -- to practice
Montag,Monday,die Wochentage,Lunes -- Monday
Dienstag,Tuesday,die Wochentage,Martes -- Tuesday
Mittwoch,Wednesday,die Wochentage,Miércoles -- Wednesday
Donnerstag,Thursday,die Wochentage,Jueves -- Thursday
Freitag,Friday,die Wochentage,Viernes -- Friday
Samstag,Saturday,die Wochentage,Sábado -- Saturday
Sonntag,Sunday,die Wochentage,Domingo -- Sunday
Jänner,January,die Monate,Enero -- January
Februar,February,die Monate,Febrero -- February
März,March,die Monate,Marzo -- March
April,April,die Monate,Abril -- April
Mai,May,die Monate,Puede -- May
Juni,June,die Monate,Junio -- June
Juli,July,die Monate,Julio -- July
August,August,die Monate,Agosto -- August
September ,September,die Monate,Septiembre -- September
Oktober,October,die Monate,Octubre -- October
November,November,die Monate,Noviembre -- November
Dezember,December,die Monate,Diciembre -- December
der Winter,The winter,die Jahreszeit,El invierno -- The winter
der Frühling ,The spring,die Jahreszeit,La primavera -- The spring
der Sommer,The summer,die Jahreszeit,El verano -- The summer
der Herbst,The autum,die Jahreszeit,El otoño -- The autum
am Abend,in the evening,Times of the day,por la tarde -- in the evening
am Vormittag,in the morning (before noon),Times of the day,por la mañana -- in the morning (before noon)
am Mittag,At noon,Times of the day,Al mediodía -- At noon
am Nachmittag,in the afternoon,Times of the day,por la tarde -- in the afternoon
am Morgen,in the morning,Times of the day,por la mañana -- in the morning
in der Nacht,At night,Times of the day,por la noche -- At night
in der Früh,in the early morning,Times of the day,temprano por la mañana -- in the early morning
wählen,to choose,Verben ,elegir -- to choose
radieren,to erase,Verben ,borrar -- to erase
verheiratet,married,Adjectives,casado -- married
geschieden,divorced,Adjectives,divorciado -- divorced
ledig,single,Adjectives,soltero -- single
verwitwet,widow,Adjectives,viudo -- widow
fern,far,Adjectives,remoto -- far
nah,close,Adjectives,cerca -- close
zeigen,to show,Verben ,espectáculo -- to show
frühstücken,to eat breakfast,Verben ,desayuno -- to eat breakfast
bedeuten,to mean,Verben ,significar -- to mean
warten,to wait,Verben ,esperar -- to wait
wie,how,W Frage,Cómo -- how
wer,who,W Frage,OMS -- who
was,what,W Frage,Qué -- what
welche,which,W Frage,cual -- which
wo,where,W Frage,dónde -- where
woher,where from,W Frage,De donde -- where from
wohin,where to,W Frage,dónde -- where to
wann,when,W Frage,Cuando -- when
wie viel,how many,W Frage,cuánto -- how many
wie alt,how old,W Frage,cuántos años -- how old
um wie viel Uhr,at what time,W Frage,A qué hora -- at what time
der Wein,the wine,Nouns food,El vino -- the wine
der Erdapfel,the potato,Nouns food,La patata -- the potato
der Apfel,the apple,Nouns food,La manzana -- the apple
der Paradeiser,the tomato,Nouns food,El tomate -- the tomato
der Käse,the cheese,Nouns food,El queso -- the cheese
der Tee,the tea,Nouns food,El té -- the tea
das Wasser,the water,Nouns food,El agua -- the water
der Joghurt,the yogurt,Nouns food,El yogur -- the yogurt
der Kaffee,the coffee,Nouns food,el cafe -- the coffee
der Reis,the rice,Nouns food,El arroz -- the rice
die Banane,the banana,Nouns food,El plátano -- the banana
die Butter,the butter,Nouns food,La mantequilla -- the butter
die Milch,the milk,Nouns food,la leche -- the milk
die Nudeln,the noodles,Nouns food,Los fideos -- the noodles
die Schokolade,the chocolate,Nouns food,el chocolate -- the chocolate
das Bier,the beer,Nouns food,la cerveza -- the beer
die Wurst,the sausage,Nouns food,La salchicha -- the sausage
das Brot,the bread,Nouns food,El pan -- the bread
die Birne,the pear,Nouns food,la pera -- the pear
das Gemüse,the vegetables,Nouns food,La verdura -- the vegetables
das Obst,the fruit,Nouns food,La fruta -- the fruit
der Paprika,the bell pepper,Nouns food,La pimienta -- the bell pepper
das Huhn,the chicken,Nouns food,El pollo -- the chicken
das Lachs,the salmon,Nouns food,El salmón -- the salmon
das Öl,the oil,Nouns food,el aceite -- the oil
das Salz,the salt,Nouns food,la sal -- the salt
der Pfeffer,the pepper,Nouns food,La pimienta -- the pepper
das Ei,the egg,Nouns food,el huevo -- the egg
der Baum,the tree,Nouns nature,El arbol -- the tree
der Reiskocher,the rice cooker,Nouns kitchen,La olla arrocera -- the rice cooker
der Freund,the friend,Nouns,El amigo -- the friend
der Wecker,the alarm clock,Nouns house,El despertador -- the alarm clock
der Elefant,the elephant,Nouns animals,El elefante -- the elephant
das Fahrrad,the bike,Nouns,La bicicleta -- the bike
die Vakzine,the vaccine,Nouns,La vacuna -- the vaccine
der Stress,the stress,Nouns,El estrés -- the stress
das Vitamin,the vitamin,Nouns,la vitamina -- the vitamin
die Wohnung,the apartment,Nouns house,El apartamento -- the apartment
das Fleisch,the meat,Nouns food,La carne -- the meat
der Schinken,the ham,Nouns food,El jamón -- the ham
der Saft,the juice,Nouns food,El jugo -- the juice
der Kuchen,the cake,Nouns food,El pastel -- the cake
der Zucker,the sugar,Nouns food,El azúcar -- the sugar
der Keks,the cookies,Nouns food,La galleta -- the cookies
der Wasserkocher,the water boiler,Nouns kitchen,La tetera -- the water boiler
das Getränk,the drink,Nouns food,La bebida -- the drink
Das Gebäck,the backed products,Nouns food,La repostería -- the backed products
das Stück,the piece,Nouns food,la pieza -- the piece
das Produkt,the product,Nouns food,El producto -- the product
eine Liter,one liter,Nouns food,un litro -- one liter
500 Gramm,500 grams,Nouns food,500 gramos -- 500 grams
ein halbes Kilo,half a kilo,Nouns food,medio kilo -- half a kilo
Stunden,hours,Plurals,Horas -- hours
Tassen,cups,Plurals,tazas -- cups
Flaschen,bottles,Plurals,botellas -- bottles
Adressen,addresses,Plurals,direcciones -- addresses
Toiletten,toilets,Plurals,baños -- toilets
Stiegen,staircases,Plurals,escaleras -- staircases
Namen,names,Plurals,nombres -- names
Minuten,minutes,Plurals,minutos -- minutes
Sekunden,seconds,Plurals,artículos de segunda clase -- seconds
Karten,cards,Plurals,Tarjetas -- cards
Scheren,scissors (plural),Plurals,tijeras -- scissors (plural)
Gruppen,groups,Plurals,grupos -- groups
Enden,finales,Plurals,termina -- finales
Küchen,cakes,Plurals,cocinas -- cakes
Fragen,questions,Plurals,Preguntas -- questions
Nummern,numbers (Nummer),Plurals,números -- numbers (Nummer)
Zahlen,numbers (Zahl),Plurals,Pagar -- numbers (Zahl)
Sprachen,languages,Plurals,Idiomas -- languages
Taschen,purses,Plurals,bolsas -- purses
Maschinen,machines,Plurals,máquinas -- machines
Zeiten,times,Plurals,veces -- times
Bahnen,railways,Plurals,pistas -- railways
Uhren,clocks,Plurals,relojes -- clocks
Abenden,evenings,Plurals,tardes -- evenings
Tage,days,Plurals,días -- days
Punkte,"points, dots",Plurals,"agujas -- points, dots"
Orte,towns,Plurals,Lugares -- towns
Tische,tables,Plurals,mesas -- tables
Biere,beers,Plurals,cervezas -- beers
Salate,salads,Plurals,ensaladas -- salads
Gegenteile,the opposite nouns,Plurals,opuestos -- the opposite nouns
Regale,shelves,Plurals,estantes -- shelves
Monate,months,Plurals,Meses -- months
Stifte,pencils,Plurals,bolígrafos -- pencils
Projekte,projects,Plurals,Proyectos -- projects
Städte,cities,Plurals,ciudades -- cities
Rucksäcke,backpacks,Plurals,Mochilas -- backpacks
Bänke,banks,Plurals,bancos -- banks
Bahnhöfe,train stations,Plurals,Estaciones de tren -- train stations
Nächte,nights,Plurals,noches -- nights
Stühle,chairs,Plurals,sillas -- chairs
Säfte,juices,Plurals,jugos -- juices
Taxis,taxis,Plurals,Taxis -- taxis
Autos,cars,Plurals,carros -- cars
Sofas,couches,Plurals,sofás -- couches
Avocados,avocadoes,Plurals,aguacates -- avocadoes
Mangos,mangoes,Plurals,mangos -- mangoes
Ruculas,ruculas,Plurals,Rúcula -- ruculas
Opas,grandpas,Plurals,abuelos -- grandpas
Omas,grandmas,Plurals,abuelas -- grandmas
Mamas,moms,Plurals,mamás -- moms
Papas,dads,Plurals,Papás -- dads
Bilder,images,Plurals,Fotos -- images
Kinder,children,Plurals,Niños -- children
Wörter,words,Plurals,Palabras -- words
Länder,countries,Plurals,Países -- countries
Fernseher,TV’s,Plurals,TELEVISOR -- TV’s
Löffel,spoons,Plurals,Cuchara -- spoons
Computer,computers,Plurals,computadora -- computers
Spitzer,sharpeners,Plurals,Spitzer -- sharpeners
Schlüssel,keys,Plurals,Llave -- keys
Kugelschreiber,pens,Plurals,Bolígrafo -- pens
die Packung,the packet (big),Nouns food,El paquete -- the packet (big)
der Becher,the cup (e.g. yogurt),Nouns food,La taza -- the cup (e.g. yogurt)
die Kiste,the crate,Nouns food,La caja -- the crate
das Glas,the glass (e.g. mermelade),Nouns food,El vaso -- the glass (e.g. mermelade)
die Flasche,the bottle,Nouns food,La botella -- the bottle
die Dose,the can,Nouns food,La lata -- the can
das Sackerl,the bag (of chips),Nouns food,La bolsa -- the bag (of chips)
das Packerl,the packet (small),Nouns food,El paquete -- the packet (small)
die Scheiben,the slices,Nouns food,las rebanadas -- the slices
kosten,to cost,Verben ,costo -- to cost
retten,to save,Verben ,ahorrar -- to save
rechnen,to calculate,Verben ,calcular -- to calculate
arbeiten,to work,Verben ,trabajar -- to work
warten,to wait,Verben ,esperar -- to wait
baden,to bath,Verben ,bañarse -- to bath
reden,to talk,Verben ,hablar -- to talk
finden,to find,Verben ,encontrar -- to find
atmen,to breathe,Verben ,respirar -- to breathe
